smoke, eyes, sponge, exchange, balance, clam, summer, desk, girls, pancake, bit, stitch, peace, insect, owner, sleep, thought
0, B, 0, 0, 0, 0, 43367, -11, 8693, 1, actor, -0.000007, 11, 687, 1.000000, 0.815430, 0
2, ;, 0, 0, 1, 0, 0, 7, 14264, 0, street, -181.060226, -125, 199, 9.000000, -0.103516, 0
2, ;, 0, 1, 1, 0, 0, -29, 7473, 0, street, 0.000004, -125, 617, 9.000000, -0.103516, 1
b0d, D, 0, 0, 1, 0, 8638, -7, 4, 0, snake, 0.000001, 8, 5597, -159821.375000, 227.583008, 0
1d, S, 0, 0, 0, 0, 7, -90, 31, 0, toy, 203.669449, 74, 27161, 45.687500, 1118.534180, 1
b0d, D, 0, 0, 1, 0, 8638, 110, 536, 1, reason, 0.000001, -85, 5907, -159821.375000, -44430.765625, 0
2, S, 0, 1, 1, 0, 1000, 89, 7473, 0, shop, 0.000004, 13, 1, 4.562500, -51429.042969, 0
647b, &, 1, 1, 0, 0, 102, -78, 67, 0, silk, -0.000001, 27, 112, 22.062500, 54629.281250, 1
1, j, 0, 1, 0, 1, 1, 61, 8693, 0, actor, -0.000007, -24, 24821, 1.000000, -4.820312, 0
2, U, 1, 0, 1, 0, 102, 1, 13, 1, design, 0.000002, -24, 24821, 64691.062500, -0.000977, 0
1e68, c, 1, 1, 0, 1, 8, 110, 31845, 0, lift, -124.191284, 27, 53161, -5.312500, 1.000000, 0
1, :, 0, 0, 1, 0, 1, 0, 15, 1, actor, -0.000059, -9, 24821, 1.000000, 0.815430, 0
2a, O, 0, 0, 0, 0, 109, 6, 7649, 1, earth, 0.001973, -4, 1463, -7.812500, 1.950195, 1
b0d, j, 0, 0, 0, 0, 37, -80, 34, 0, reason, 0.000555, 6, 22287, -62328.312500, 227.583008, 0
2, y, 1, 0, 1, 0, 102, 7, 3454, 0, design, -181.060226, 49, 0, 4.562500, -0.000000, 1
b0d, j, 0, 0, 0, 0, 37, 44, 4, 0, reason, 0.000000, 6, 2, -62328.312500, 18.975586, 0
2a, b, 0, 0, 1, 0, 109, -16, 7649, 0, earth, -0.010119, 0, 1463, -7.812500, 1.950195, 1
1e0, b, 0, 0, 1, 0, 1, -16, 31, 0, coast, 1.000000, 0, 1463, 218261.437500, 0.000977, 1
1e68, c, 1, 0, 0, 1, 8, 110, 11, 1, lift, -124.191284, 27, 329, -5.312500, 77.802734, 0
b0d, D, 0, 0, 0, 1, 37, -16, 4, 0, reason, -0.003295, -85, 2, -62328.312500, -2.515625, 0
647b, W, 1, 1, 0, 0, 102, -78, 32, 0, silk, -212.382629, 27, 112, 22.062500, -3693.982422, 1
2, A, 0, 0, 0, 0, 1, 7, 31, 1, shop, -231.086777, -29, 617, 9.000000, -0.000000, 0
2, y, 1, 0, 1, 0, 102, 1, 3454, 1, design, 0.000002, 1, 0, 4.562500, -64829.515625, 0
1e0, b, 0, 1, 1, 0, 1, -16, 0, 0, coast, 1.000000, 0, 3, -31.062500, 0.000977, 1
1d, H, 0, 0, 0, 0, 7, -12, 31, 0, toy, -30.323563, 74, 27161, 0.000000, 254.550781, 1
76d, I, 0, 1, 0, 0, 1350, 44, 1, 1, voice, 1.000000, -44, 3, -63.875000, -2.515625, 1
647b, &, 1, 1, 0, 1, 102, -78, 32, 0, silk, 0.002750, -128, 76, 22.062500, 54629.281250, 1
76d, I, 0, 1, 0, 0, 1350, -8, 536, 1, voice, 0.000555, -44, 5907, -256729.937500, -2.515625, 1
